"questionNumber","category","difficulty","latencySeconds","structureValid","question","answer1","answer2","answer3","answer4","markedCorrectAnswer","factualStatus","sourceUrl","reviewNotes"
"1","History","Easy","2.712","True","Who was the first President of the United States?","Abraham Lincoln","George Washington","Thomas Jefferson","John Adams","George Washington","Correct","https://www.whitehouse.gov/about-the-white-house/presidents/george-washington/","George Washington was the first U.S. president."
"2","History","Easy","1.968","True","Which ancient civilization built the pyramids?","Mesopotamian","Egyptian","Indus Valley","Mayan","Egyptian","Correct","https://www.britannica.com/topic/Pyramids-of-Giza","The Giza pyramids were built in ancient Egypt."
"3","History","Easy","1.896","True","What year did the Titanic sink?","1910","1912","1905","1915","1912","Correct","https://www.britannica.com/topic/Titanic","Titanic sank in April 1912."
"4","History","Easy","2.542","True","Who was the famous civil rights leader known for his 'I Have a Dream' speech?","Malcolm X","Nelson Mandela","Martin Luther King Jr.","Rosa Parks","Martin Luther King Jr.","Correct","https://kinginstitute.stanford.edu/i-have-dream","The speech was delivered by Martin Luther King Jr."
"5","History","Medium","2.096","True","Which war was fought between the North and South regions in the United States?","World War I","The American Revolution","The Civil War","World War II","The Civil War","Correct","https://www.archives.gov/research/military/civil-war","The American Civil War was fought between Union and Confederate states."
"6","History","Medium","1.987","True","What year did World War II begin?","1935","1941","1939","1945","1939","Correct","https://www.britannica.com/event/World-War-II","World War II began in Europe in 1939."
"7","History","Medium","2.331","True","Who was the British Prime Minister at the start of World War II?","Winston Churchill","Neville Chamberlain","Clement Attlee","Margaret Thatcher","Winston Churchill","Incorrect","https://www.gov.uk/government/history/past-prime-ministers/neville-chamberlain","Neville Chamberlain, not Winston Churchill, was prime minister when Britain entered the war in September 1939."
"8","History","Hard","3.322","True","Which treaty ended World War I?","Treaty of Versailles","Treaty of Paris","Treaty of Trianon","Treaty of Saint-Germain","Treaty of Versailles","Correct","https://history.state.gov/milestones/1914-1920/paris-peace","The expected conventional answer is the Treaty of Versailles."
"9","History","Hard","2.298","True","What was the primary cause of the Thirty Years' War in Europe?","Territorial disputes","Economic rivalry","Religious conflict","Dynastic claims","Religious conflict","Ambiguous","https://www.britannica.com/event/Thirty-Years-War","Religious conflict was central, but dynastic and territorial struggles were also major causes; 'primary' is contestable."
"10","History","Hard","2.476","True","Which empire was known for its use of the falcon as a symbol of power and the concept of Ma'at?","Roman Empire","Persian Empire","Egyptian Empire","Mongol Empire","Egyptian Empire","Ambiguous","https://www.britannica.com/topic/ancient-Egyptian-religion","Horus and Ma'at are Egyptian concepts, but 'Egyptian Empire' and a single falcon symbol of imperial power are imprecise."
