"questionNumber","category","difficulty","latencySeconds","requestSucceeded","structureValid","question","correctAnswer","error"
"1","History","Easy","2.712","True","True","Who was the first President of the United States?","George Washington",
"2","History","Easy","1.968","True","True","Which ancient civilization built the pyramids?","Egyptian",
"3","History","Easy","1.896","True","True","What year did the Titanic sink?","1912",
"4","History","Easy","2.542","True","True","Who was the famous civil rights leader known for his 'I Have a Dream' speech?","Martin Luther King Jr.",
"5","History","Medium","2.096","True","True","Which war was fought between the North and South regions in the United States?","The Civil War",
"6","History","Medium","1.987","True","True","What year did World War II begin?","1939",
"7","History","Medium","2.331","True","True","Who was the British Prime Minister at the start of World War II?","Winston Churchill",
"8","History","Hard","3.322","True","True","Which treaty ended World War I?","Treaty of Versailles",
"9","History","Hard","2.298","True","True","What was the primary cause of the Thirty Years' War in Europe?","Religious conflict",
"10","History","Hard","2.476","True","True","Which empire was known for its use of the falcon as a symbol of power and the concept of Ma'at?","Egyptian Empire",
"11","Geography","Easy","1.633","True","True","What is the largest continent on Earth?","Asia",
"12","Geography","Easy","1.896","True","True","Which river is the longest in the world?","Nile River",
"13","Geography","Easy","1.883","True","True","Which country is known as the Land of the Rising Sun?","Japan",
"14","Geography","Easy","2.277","True","True","What is the capital city of France?","Paris",
"15","Geography","Medium","1.894","True","True","Which desert is the largest hot desert in the world?","Sahara Desert",
"16","Geography","Medium","1.535","True","True","Which mountain range separates Europe from Asia?","Urals",
"17","Geography","Medium","2.061","True","True","Which country has the most natural lakes?","Canada",
"18","Geography","Hard","2.22","True","True","What is the lowest point on land in the world?","Dead Sea",
"19","Geography","Hard","1.616","True","True","Which country possesses the largest island in the world?","Greenland",
"20","Geography","Hard","1.69","True","True","What is the name of the tectonic plate that includes most of North America?","North American Plate",
"21","Science","Easy","1.845","True","True","What is the chemical symbol for water?","H2O",
"22","Science","Easy","1.864","True","True","What planet is known as the Red Planet?","Mars",
"23","Science","Easy","2.997","True","True","What is the powerhouse of the cell?","Mitochondria",
"24","Science","Easy","2.46","True","True","What gas do plants absorb from the atmosphere during photosynthesis?","Carbon Dioxide",
"25","Science","Medium","2.143","True","True","What is the primary component of the Earth's atmosphere?","Nitrogen",
"26","Science","Medium","2.395","True","True","What type of bond involves the sharing of electron pairs between atoms?","Covalent Bond",
"27","Science","Medium","2.396","True","True","What is the process by which substances transition from a gas to a liquid?","Condensation",
"28","Science","Hard","2.541","True","True","What is the name of the phenomenon where light bends as it passes from one medium to another?","Refraction",
"29","Science","Hard","2.195","True","True","What is the name of the process by which a cell engulfs material from its environment?","Endocytosis",
"30","Science","Hard","2.395","True","True","What is the scientific term for the effect that causes the observed frequency of a wave to change due to the motion of the source or observer?","Doppler Effect",
"31","Technology","Easy","1.944","True","True","What is the primary function of a web browser?","To browse and view websites",
"32","Technology","Easy","2.012","True","True","What does HTML stand for?","HyperText Markup Language",
"33","Technology","Easy","2.018","True","True","Which company developed the Windows operating system?","Microsoft",
"34","Technology","Easy","1.978","True","True","What does the acronym 'USB' stand for in technology?","Universal Serial Bus",
"35","Technology","Medium","1.964","True","True","What is the main purpose of a VPN?","To create a secure connection over the internet",
"36","Technology","Medium","1.901","True","True","Which programming language is known as the backbone of web development?","JavaScript",
"37","Technology","Medium","2.486","True","True","What technology does '2FA' refer to in online security?","Two-Factor Authentication",
"38","Technology","Hard","1.998","True","True","What is the function of the 'root' user in a Unix/Linux system?","Administrative account with full permissions",
"39","Technology","Hard","2.336","True","True","Which protocol is used for secure data transmission over a computer network?","TLS/SSL",
"40","Technology","Hard","2.844","True","True","What is the primary function of a DNS server in a network?","To convert domain names to IP addresses",
"41","General Knowledge","Easy","2.074","True","True","What is the capital of France?","Paris",
"42","General Knowledge","Easy","1.819","True","True","Which planet is known as the Red Planet?","Mars",
"43","General Knowledge","Easy","2.973","True","True","What is the largest mammal in the world?","Blue Whale",
"44","General Knowledge","Easy","1.804","True","True","What is the main ingredient in guacamole?","Avocado",
"45","General Knowledge","Medium","1.871","True","True","Who wrote the play 'Romeo and Juliet'?","William Shakespeare",
"46","General Knowledge","Medium","1.566","True","True","What is the largest organ in the human body?","Skin",
"47","General Knowledge","Medium","2.593","True","True","Which element has the chemical symbol 'O'?","Oxygen",
"48","General Knowledge","Hard","1.906","True","True","What is the term for a word that is similar in meaning to another word?","Synonym",
"49","General Knowledge","Hard","2.294","True","True","What is the capital of Iceland?","Reykjavik",
"50","General Knowledge","Hard","1.739","True","True","What is the name of the longest river in South America?","Amazon River",
